Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
169000;411,0054;15,0026;1,2246;-0,0915;1,6443;260,5048;6,8803;True;True;0,0364;0,9144;0,3177;343,1670;45,6984;310,1805;4,0038;1,0962;-4,1422;-151,3025;True;True;-0,2740;0,8419;0,0644;347,9489;124,8065;85,1512;-0,6057;-0,2806;0,6992;-136,5048;
169005;411,0304;15,0083;1,2356;-0,0773;358,4683;265,2979;5,5578;True;True;0,1302;0,8662;0,2181;3,1789;41,8154;311,8374;2,6867;-1,7751;-4,1614;-154,3583;True;True;-0,2850;0,8406;0,0541;344,2733;123,6294;101,4913;-1,1256;0,7944;-0,4055;-137,6460;
169010;411,0554;15,0232;1,2424;-0,0610;356,7456;268,6944;4,0953;True;True;0,1758;0,8524;0,1551;14,2313;54,8309;307,6437;0,5843;0,4981;-1,8802;-149,7374;True;True;-0,2918;0,8609;0,0904;350,0957;123,9915;106,3524;0,8158;0,4503;1,5753;-142,4028;
169015;411,0804;15,0354;1,2482;-0,0581;355,5139;265,8295;2,3116;True;True;0,1955;0,8571;0,1346;18,3962;59,4783;297,2389;0,2910;0,2793;0,3965;-144,1894;True;True;-0,2699;0,8828;0,1074;353,5293;125,0729;100,7195;0,1335;0,1175;-0,0222;-138,5573;
169020;411,1055;15,0482;1,2479;-0,0732;355,7683;259,7298;2,5848;True;True;0,1802;0,8848;0,1439;11,9404;57,0937;292,7115;-0,5117;0,3857;-0,0407;-141,4061;True;True;-0,2923;0,9022;0,1042;5,0310;121,2547;99,2187;-3,1337;1,4860;0,1939;-136,6482;
169025;411,1305;15,0593;1,2396;-0,1163;354,5776;254,2319;4,0510;True;True;0,1459;0,9225;0,1506;0,3965;52,7572;288,4667;-1,1702;1,4215;1,2168;-141,7153;True;True;-0,3964;1,0277;0,1100;19,0604;89,6718;76,4595;-7,8487;8,2811;4,3362;-134,3647;
169030;411,1555;15,0574;1,2320;-0,1927;352,3503;248,9567;9,5325;True;True;0,1353;0,9214;0,1532;353,9966;53,2462;291,5802;-0,0373;-0,2414;0,2154;-148,6926;True;True;-0,5543;1,0545;0,2031;348,5752;74,5126;56,4050;-4,9129;0,3655;0,0569;-111,3059;
169035;411,1805;15,0437;1,2101;-0,2726;350,4706;244,6478;14,3327;True;True;0,1289;0,9319;0,1608;343,8044;55,3460;292,5702;-0,1883;0,3289;0,5874;-148,9183;True;True;-0,5717;0,9358;0,1251;329,3323;79,9746;28,9269;-2,4768;-5,8450;-7,1038;-112,8438;
169040;411,2056;15,0290;1,1674;-0,3627;352,2370;238,1584;20,5129;True;True;0,0711;0,9605;0,1473;344,3159;62,4070;294,3497;-2,4663;1,1674;-0,4500;-147,4135;True;True;-0,4578;0,9058;0,0895;356,7589;95,9740;12,1520;4,3960;0,1683;-0,6831;-108,2879;
169045;411,2306;15,0352;1,1365;-0,4097;0,5784;232,8736;24,4451;True;True;0,0555;0,9673;0,1691;344,9250;57,0904;307,1832;1,0271;-0,6279;0,1535;-154,4969;True;True;-0,7646;0,7746;0,3346;321,0320;75,6780;64,3795;-5,5307;-5,9950;16,9029;-73,9036;
169790;411,2656;15,0602;1,2288;-0,0364;359,0677;265,9822;1,3913;True;True;0,2256;0,8769;0,0896;10,8226;62,5922;274,8038;-0,0331;-0,2010;0,1997;-136,2985;True;True;-0,2948;0,8811;0,0846;328,0930;141,9939;85,7708;-0,0647;-0,2354;-0,0124;-140,0878;
169795;411,2906;15,0590;1,2283;-0,0363;359,5148;265,9633;1,3436;True;True;0,2202;0,8679;0,0933;12,4824;67,3438;271,5372;-0,1082;-0,2438;0,5219;-133,7469;True;True;-0,2941;0,8798;0,0837;328,8370;141,7357;83,0774;0,0428;-0,0344;-0,1305;-137,9119;
169800;411,3157;15,0581;1,2279;-0,0358;359,6216;266,0211;1,3705;True;True;0,2244;0,8631;0,0970;9,6126;67,9912;277,2653;0,7469;-0,4595;-0,1183;-132,0774;True;True;-0,2926;0,8800;0,0845;331,0191;138,4400;84,9331;0,0502;0,0030;0,0080;-137,4173;
169805;411,3407;15,0576;1,2279;-0,0352;359,8048;266,1774;1,2308;True;True;0,2333;0,8607;0,0949;5,2608;71,1259;283,5172;-0,1132;0,1081;-0,0216;-137,1349;True;True;-0,2904;0,8853;0,0848;334,3179;131,9891;88,9334;0,3396;0,6100;0,0108;-136,9003;
169810;411,3657;15,0576;1,2276;-0,0352;359,9465;266,2238;1,3402;True;True;0,2250;0,8646;0,0953;8,1558;70,6380;280,4787;-0,1181;0,0397;-0,0071;-138,0699;True;True;-0,2859;0,8881;0,0831;332,4892;138,9549;86,3528;0,0010;-0,0276;0,0182;-138,4755;
169815;411,3907;15,0589;1,2285;-0,0381;0,0783;266,4636;1,5265;True;True;0,2206;0,8614;0,0994;9,4873;73,3761;274,8896;-0,3946;-0,4755;0,4642;-133,7569;True;True;-0,2835;0,8864;0,0867;337,8725;138,2898;82,2327;0,0315;0,0471;0,2864;-135,4979;
169820;411,4158;15,0640;1,2323;-0,0500;359,3188;266,6316;2,1583;True;True;0,1847;0,8685;0,1221;6,6160;70,0514;272,6644;-1,6938;0,5449;0,8941;-128,8888;True;True;-0,2904;0,8821;0,0863;341,5058;158,5145;77,2708;-0,2069;-0,0311;-0,3665;-133,3691;
169825;411,4408;15,0700;1,2364;-0,0706;357,2539;266,6870;3,1034;True;True;0,0514;0,9911;0,1714;346,5172;56,6836;279,1667;-4,9704;4,6472;5,8098;-143,5621;True;True;-0,2938;0,9103;0,0751;359,3902;121,4663;87,6542;-1,6234;0,5808;-0,2577;-133,3318;
169830;411,4658;15,0745;1,2424;-0,1055;354,1859;266,0242;4,7042;True;True;-0,0108;1,0196;0,1953;326,6301;58,9626;269,7592;-2,8718;2,0025;-0,5113;-144,9799;True;True;-0,3266;0,9033;0,0666;6,5442;113,6670;86,0017;-0,6961;0,1230;-0,2703;-132,5373;
169835;411,4908;15,0757;1,2493;-0,1406;351,6253;265,3587;6,1457;True;True;-0,0715;1,0749;0,2186;310,4154;42,6518;277,8810;-2,5133;3,5836;3,7413;-148,3577;True;True;-0,3478;0,9003;0,0424;4,6711;109,6370;79,3123;-1,0335;-0,5391;-1,3630;-129,6047;
169840;411,5159;15,0726;1,2581;-0,1799;347,5483;263,3995;7,6399;True;True;-0,1278;1,0814;0,2167;299,7165;36,4840;278,1834;-1,0428;-0,2975;0,1363;-149,1954;True;True;-0,3696;0,9048;0,0372;2,0600;105,7290;75,4662;-0,5688;0,1770;-0,0894;-128,5950;
169845;411,5409;15,0680;1,2667;-0,2086;344,4680;261,2505;8,3961;True;True;-0,1565;1,1019;0,2371;298,8955;42,3110;267,0457;-0,4427;1,7455;0,9568;-148,4696;True;True;-0,3861;0,9068;0,0354;358,0196;92,0013;73,4668;-0,2640;-0,0111;0,0680;-130,6797;
169850;411,5659;15,0619;1,2750;-0,2325;341,9958;259,6283;9,2941;True;True;-0,2068;1,1078;0,2696;296,4384;29,5763;276,2664;-0,6580;0,5944;1,0522;-149,5736;True;True;-0,4060;0,9211;0,0322;355,3534;82,2665;73,3150;-0,2818;0,4567;0,0972;-134,2910;
169855;411,5909;15,0603;1,2787;-0,2412;339,5368;258,2984;10,3435;True;True;-0,2408;1,1994;0,3227;292,2163;58,2033;256,9406;-4,2436;6,3821;5,2054;-148,2960;True;True;-0,3997;0,9286;0,0368;345,5079;65,2159;74,0194;0,4133;0,4902;-0,0218;-135,9987;
169860;411,616;15,0700;1,2869;-0,2311;336,0706;258,3146;12,7817;True;True;-0,2991;1,3120;0,5538;313,0141;88,1187;244,6179;0,2365;1,9358;9,2141;-142,2606;True;True;-0,4012;0,9398;0,0363;338,1903;61,9198;74,6831;-0,0512;-0,3274;-0,0998;-139,8459;
169865;411,641;15,0840;1,2956;-0,2344;331,0710;258,3002;12,7772;True;True;-0,2142;1,2486;0,5902;333,5673;103,1962;338,0988;-9,6567;-3,9668;-6,6438;164,2560;True;True;-0,3529;0,9356;0,0243;333,9489;70,7513;71,6338;4,1670;0,3671;-1,3480;-140,7482;
169870;411,666;15,0896;1,2877;-0,2250;335,9307;255,6491;12,6774;True;True;-0,2430;1,1176;0,4746;331,6772;269,3666;165,5964;3,0277;-0,6039;-3,0805;101,1983;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;-140,8199;
169875;411,691;15,0943;1,2883;-0,2032;336,7925;257,2745;10,0356;True;True;-0,2387;1,0207;0,4641;44,3824;217,2983;124,7205;-7,6826;-8,1817;3,9491;91,2334;True;True;0,0000;0,0000;0,0000;0,0000;90,0000;180,0000;0,0000;0,0000;0,0000;-139,3100;
169880;411,7161;15,1005;1,2836;-0,1727;342,2428;257,8741;7,4858;True;True;-0,1059;1,0930;0,1686;339,7297;16,2477;331,4782;2,2223;0,7533;-0,1478;103,4436;True;True;-0,4342;0,9369;0,0194;351,1909;118,7780;70,6659;-4,6369;3,6098;2,2098;-131,6432;
169885;411,7411;15,1076;1,2767;-0,1457;346,1782;257,2445;5,4358;True;True;-0,0477;1,0870;0,1487;329,3605;348,0908;342,2054;2,5764;0,0812;-0,9435;170,9447;True;True;-0,4063;0,9561;-0,0052;1,5670;105,5785;66,8388;2,3327;1,0970;-0,9853;-125,6389;
